gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
ABCC1,46.076443,50.8201,52.999071,38.427848000000004,40.158433,40.974036
ABCC10,19.966229,13.835544,19.716167,10.444507999999999,11.641591,10.872810000000001
ABCC11,0.481146,0.10702400000000001,0.093874,0.375962,0.056116,0.011941
ABCC12,0.031974,0.0,0.0,0.0,0.0,0.01111
ABCC13,0.0,0.097893,0.0,0.0,0.0,0.019082
ABCC2,0.221989,0.284724,0.110363,0.211153,0.081255,0.309454
ABCC3,0.259013,0.2412,0.915832,0.489679,0.370622,0.109795
ABCC4,18.056760999999998,18.267324,17.487285,13.311989,14.423272,10.538476000000001
ABCC5,29.389598,33.134219,33.152624,36.973067,41.211447,37.390563
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,2.7854140000000003,3.1837690000000003,3.128533,1.987682,2.104699,1.569853
ABCC6P1,1.422168,1.4194309999999999,0.827095,0.969899,0.60319,0.412659
ABCC6P2,1.058674,1.436807,1.949875,0.6441140000000001,0.705632,0.29302
ABCC8,1.426046,1.975072,1.32859,3.019173,1.764853,3.709525
ABCC9,0.620644,0.542551,0.6593100000000001,1.282526,1.127416,1.150185
ABCD1,16.545268999999998,14.300595,15.534811999999999,6.635066,6.985831,7.726804
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,34.621149,35.706611,36.137407,27.304938,25.891134,23.873716
ABCD3,40.816210000000005,41.591533000000005,40.155073,26.794901,24.317849,21.383144
ABCD4,37.183895,35.987638000000004,38.730556,38.082899,36.907176,38.885861
ABCE1,88.03345,94.935964,88.753995,59.937875999999996,57.753413,57.66737
ABCF1,125.55479,127.22636800000001,122.345942,78.994964,86.976063,86.893432
ABCF2,46.34101,48.152441,47.193228999999995,26.392439,27.287299,27.507896
ABCF2-H2BK1,48.847633,52.561402,44.464226,33.888031,33.737502,34.33125
ABCF2P1,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,25.519464999999997,25.069640000000003,25.592844999999997,23.781348,20.845817,27.58416
ABCG1,3.760181,2.346925,2.578734,8.464068000000001,9.532243999999999,8.458707
ABCG2,0.0,0.0,0.0,0.0,0.0,0.0
ABCG4,0.349145,0.440909,0.431047,0.960429,1.400239,0.971755
ABCG5,0.0,0.01638,0.0,0.064247,0.0,0.0
ABCG8,0.071179,0.065544,0.082688,0.12408899999999999,0.083567,0.094976
ABHD1,2.706202,1.773916,1.9680330000000001,4.759809,5.108627,3.327467
ABHD10,25.268088,27.476065000000002,25.902319,17.92309,16.744865,14.895871000000001
ABHD11,15.752124,13.907568999999999,15.368362,10.867225000000001,12.759135,14.104496999999999
ABHD12,41.983247,55.651364,46.081116,38.662735999999995,45.04976,41.611771
ABHD12B,0.761038,1.037657,0.189071,0.086477,0.13116,0.03264
ABHD13,5.834866,7.007315,7.028658,6.299223,6.373103,4.96555
ABHD14A,37.35243799999999,27.192834,33.866773,35.461301,37.794864000000004,40.897949
ABHD14A-ACY1,1.456374,9.245964,1.617823,4.474055,5.616669,2.36007
ABHD14B,19.117968,17.686992999999998,20.968858,47.70728,51.480917000000005,52.837438000000006
ABHD15,2.64684,2.47286,3.205052,3.480818,3.516562,3.777706
ABHD15-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ABHD16A,36.367470000000004,35.254679,31.605626000000004,32.529087000000004,30.30015,34.342804
ABHD16B,0.081543,0.013672,0.060855,0.011423,0.0,0.0
ABHD17A,27.134831,23.483852,24.647875,27.377598000000003,28.097405,34.194931000000004
ABHD17AP1,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP3,0.0,0.016858,0.0,0.0,0.0,0.0
ABHD17AP4,0.0,0.0,0.0,0.0,0.0,0.02252
ABHD17AP5,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP6,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17B,13.370585,13.170553,12.489732,10.354297,8.427303,9.55917
ABHD17C,6.179272999999999,7.891595,7.3454500000000005,7.692063,4.632597,6.773384999999999
ABHD18,5.21936,4.404294,5.3240680000000005,4.205294,4.766151,4.268592
ABHD2,82.427838,88.91034400000001,88.079802,50.531687999999995,49.144162,51.321042
ABHD3,7.505076,8.266403,7.1416390000000005,4.8678099999999995,4.270656000000001,4.498114
ABHD4,4.334294,4.246181,4.7918199999999995,11.486692999999999,6.907698,6.268684
ABHD5,50.014813,52.477734999999996,49.117998,19.588535,18.487813,15.088284999999999
ABHD6,7.352221,9.713683,8.521633,11.412802000000001,11.91932,10.670783
ABHD8,12.855248,13.041146,12.537611,10.924928999999999,11.507679,13.211729
ABI1,23.877437999999998,27.189569,25.574243,20.751063,19.402266,20.597873
ABI1P1,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,129.84375599999998,141.605967,134.380762,90.012687,100.619683,106.751284
ABI3,0.0,0.0,0.0,0.0,0.0,0.0
ABI3BP,0.318404,0.5484749999999999,0.272878,0.171746,0.133056,0.06515499999999999
ABITRAM,11.045145999999999,13.871093000000002,11.623368,13.645729999999999,11.6503,10.7657
ABITRAMP1,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,72.783778,68.508669,68.91264,43.176665,46.432306,51.413254
