gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
RHEBP1,18.435,40.094,44.636,34.302,30.159,8.404
RHEBP2,0.0,21.01,0.0,16.806,0.0,26.358
RHEBP3,0.0,0.0,0.0,0.0,0.0,0.0
RHEX,0.0,0.0,0.0,1.0,0.0,0.0
RHNO1,2393.462,2541.81,2595.3469999999998,1486.997,1149.423,1040.684
RHO,1.0,0.0,0.0,0.0,0.0,0.0
RHOA,17503.289,17876.333,18935.399999999998,6093.237,4595.509,4871.574
RHOA-IT1,2.0,2.0,1.0,0.0,3.0,0.0
RHOB,2218.719,2705.35,2820.803,2247.283,1633.178,1779.499
RHOBTB1,1663.087,1711.027,1876.754,1975.0,1373.0,1506.9309999999998
RHOBTB2,2890.0020000000004,2767.23,3130.155,2558.007,2016.955,2198.505
RHOBTB3,20685.338,22477.807999999997,23745.544,13892.545,10382.92,9682.619
RHOC,1878.4450000000002,1996.199,2196.405,1840.232,1594.321,1544.0349999999999
RHOD,0.0,0.0,0.0,0.0,0.0,0.0
RHOF,127.14099999999999,126.389,147.643,181.21,108.319,108.821
RHOG,1004.84,941.987,1019.095,768.0,589.0,690.997
RHOG2P,0.0,0.0,0.0,0.0,0.0,0.0
RHOH,2.019,1.0,1.0,1.0,0.0,0.0
RHOJ,3.0,1.0,2.0,0.0,1.0,0.0
RHOQ,2869.922,3329.737,3545.201,3251.01,2309.918,2125.752
RHOQ-AS1,0.0,2.0,0.0,1.0,0.0,1.0
RHOQP1,50.42,35.431,52.159,12.582,9.487,17.803
RHOQP2,0.0,0.0,0.0,2.333,0.0,0.0
RHOQP3,0.0,0.0,0.0,2.262,0.0,0.0
RHOT1,2324.549,2431.196,2541.196,3187.83,2248.004,1983.653
RHOT1P1,2.106,9.937,0.0,1.144,1.258,0.0
RHOT1P2,5.332,9.867,3.261,1.027,5.129,3.0
RHOT1P3,0.0,0.0,0.0,0.0,0.0,0.0
RHOT2,4871.104,4006.89,4971.962,3661.464,2937.4539999999997,3125.604
RHOU,2085.908,2208.0,2366.358,1225.0,883.0,888.245
RHOV,76.0,80.0,87.0,59.0,63.0,60.0
RHOXF1,7.984999999999999,10.488,17.518,28.982000000000003,10.263,15.589
RHOXF1-AS1,2.0,4.0,9.834,14.545000000000002,1.0,1.002
RHOXF1P1,0.0,0.0,0.0,0.0,0.0,0.0
RHOXF1P2,0.0,0.0,0.0,0.0,0.0,0.0
RHOXF1P3,0.0,0.0,0.0,0.0,0.0,0.0
RHOXF2,0.0,0.0,1.0,0.0,0.0,0.0
RHOXF2B,0.0,0.0,0.0,0.0,0.0,0.0
RHPN1,390.098,286.0,405.00100000000003,482.025,409.0,385.0
RHPN1-AS1,39.0,34.0,48.0,36.0,29.0,29.0
RHPN2,405.066,383.222,493.147,732.0,518.539,638.988
RHPN2P1,0.0,0.0,0.0,0.0,0.0,0.0
RIBC1,29.0,22.0,20.0,18.0,28.000000000000004,21.0
RIBC2,0.0,0.0,0.0,0.0,0.0,0.0
RIC1,1677.006,1588.373,1860.999,2123.999,1623.315,1491.498
RIC3,565.838,571.191,638.7429999999999,750.421,544.962,551.267
RIC3-DT,0.0,0.0,0.0,3.0,0.0,0.0
RIC8A,5600.072,5044.878,5638.898,4559.565,3656.373,3832.365
RIC8B,1226.2740000000001,1278.2189999999998,1366.381,973.0,717.999,744.002
RICTOR,767.144,756.9680000000001,897.047,931.186,651.37,560.227
RIDA,266.0,269.358,358.0,394.99899999999997,255.0,236.999
RIF1,6024.309,6899.915,7244.534,4829.684,3308.304,2976.67
RIGI,95.48400000000001,202.627,246.716,25.024,57.679,38.607
RIIAD1,56.0,64.0,75.0,43.0,39.998999999999995,32.0
RILP,25.0,36.998999999999995,45.0,42.0,39.0,46.0
RILPL1,618.7090000000001,616.037,701.6379999999999,936.922,742.1800000000001,735.844
RILPL2,382.218,292.34000000000003,352.007,307.39599999999996,247.227,242.458
RIMBP2,4489.399,4282.189,4800.9710000000005,8543.516,6657.23,6461.741
RIMBP3,15.278,16.281,20.012,1.718,13.0,13.0
RIMBP3B,8.722,12.721,10.988,12.282,0.0,0.0
RIMBP3C,0.0,0.0,0.0,0.0,0.0,0.0
RIMKLA,2039.941,1937.264,2233.877,1943.041,1439.398,1557.1699999999998
RIMKLB,1725.4540000000002,1777.0,1971.6729999999998,1205.999,863.0,764.0
RIMKLBP1,0.0,0.0,0.0,0.0,0.0,0.0
RIMKLBP2,0.0,0.0,0.0,0.0,0.0,0.0
RIMOC1,2302.492,2482.122,2620.98,2030.0900000000001,1434.028,1237.0
RIMS1,1325.3890000000001,1314.1209999999999,1416.9579999999999,3427.129,2624.475,2514.178
RIMS2,1818.461,1846.487,1966.866,1403.847,1132.511,1115.161
RIMS3,4921.289,5005.996,5384.146000000001,4134.176,3417.33,3458.598
RIMS4,6581.167,6193.138,6774.393,3646.357,2969.827,3065.955
RIN1,392.201,412.058,315.618,466.0,354.0,460.04900000000004
RIN2,110.99900000000001,82.0,137.774,202.00100000000003,164.0,161.999
RIN3,0.0,0.0,0.0,0.0,0.0,0.0
RING1,1610.556,1684.995,1723.0,1694.5140000000001,1358.019,1475.183
RINL,30.027,31.85,53.052,136.115,89.599,84.495
RINT1,1620.021,1892.997,2000.1650000000002,1916.001,1298.22,1313.926
RIOK1,2412.5339999999997,2395.005,2546.0190000000002,1682.298,1349.972,1254.486
RIOK2,1015.0,1022.848,1134.964,724.0,596.037,521.227
RIOK3,1872.3239999999998,2030.412,2291.108,2565.409,1824.846,1645.8909999999998
RIOK3P1,0.0,0.0,0.0,0.0,0.0,0.0
RIOX1,1323.836,1151.059,1348.001,632.166,499.05,541.0
RIOX2,1689.001,1742.6409999999998,1745.4080000000001,2002.0,1462.98,1367.5810000000001
RIPK1,1681.8,1806.951,1858.913,1160.651,1005.1179999999999,971.834
RIPK2,624.0,573.48,639.312,444.0,335.0,335.0
RIPK3,0.0,0.0,0.0,0.0,0.0,0.0
RIPK4,16.0,20.0,37.0,27.0,14.0,18.0
RIPOR1,5173.903,4493.349,5453.098999999999,4597.784,3723.032,3831.362
RIPOR2,55.719,33.974000000000004,37.91,6.762,20.924,18.044999999999998
RIPOR3,79.918,58.682,61.558,35.851,39.486,40.909
RIPOR3-AS1,0.0,0.0,0.0,0.0,0.0,0.0
RIPPLY1,0.0,0.0,0.0,0.0,0.0,0.0
RIPPLY2,183.0,174.204,230.0,324.748,236.29699999999997,264.99899999999997
RIPPLY3,7.002,2.13,5.237,4.002,1.626,2.99
RIT1,1307.537,1321.201,1429.018,979.001,779.09,766.019
RIT2,1.0,2.0,4.0,0.0,1.0,1.0
RITA1,1415.6159999999998,1252.078,1494.9969999999998,1412.0,1155.3729999999998,1274.079
RLBP1,0.0,0.0,0.0,0.0,0.0,0.0
RLF,2115.965,2275.061,2387.216,2116.0,1498.0,1378.595
RLIG1,1245.0,1281.047,1420.999,1200.013,884.028,861.0
RLIG1P1,0.0,0.0,0.0,0.0,0.0,0.0
RLIG1P2,0.0,0.0,0.0,0.0,0.0,0.0
RLIG1P3,0.0,0.0,0.0,2.0,0.0,2.0
RLIM,3943.983,4305.883,4728.308,3909.3360000000002,2937.6940000000004,2507.166
RLIMP1,0.0,0.0,0.0,0.0,0.0,0.0
RLIMP2,0.0,0.0,0.0,0.0,0.0,0.0
RLN1,12.225,19.77,12.002,14.0,12.382,9.995
RLN2,24.791,34.229,42.998,29.0,18.618,22.005
RLN3,0.0,0.0,0.0,0.0,0.0,0.0
RMB8AP1,0.0,0.0,8.211,0.0,0.0,1.294
RMC1,1535.654,1529.951,1786.43,1370.0009999999997,1035.011,997.7410000000001
RMDN1,1379.0,1442.007,1487.837,1292.999,910.0010000000001,1003.0360000000001
RMDN2,159.0,201.001,187.0,251.0,194.0,155.403
RMDN2-AS1,0.0,0.0,0.0,0.0,0.0,0.0
RMDN3,1042.212,1094.988,1246.001,1005.001,813.563,813.2810000000001
RMEL3,0.0,0.0,0.0,0.0,0.0,0.0
RMI1,1388.146,1425.079,1614.0,907.0,543.943,495.61
RMI2,991.8670000000001,1061.879,1034.0,1075.0,691.0,608.2660000000001
RMND1,1560.843,1480.1149999999998,1637.961,2138.6,1604.623,1528.767
RMND5A,4025.216,4060.3070000000002,4513.192,5932.8,4445.246999999999,3956.7749999999996
RMND5B,2091.0080000000003,1967.17,2260.285,2062.999,1658.262,1634.282
RMRP,36.789,50.0,48.138,84.0,56.007,82.0
RMRPP5,0.0,0.0,0.0,0.0,0.0,0.0
RMST,0.0,0.0,0.0,0.0,0.0,0.0
RN7SK,729.648,735.543,960.069,0.0,882.343,530.833
RN7SKP1,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP10,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP100,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP101,0.0,0.0,0.0,0.0,0.0,0.0
