"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"7SK",330.575073454544,0.831239725888272,3.53961871071228,0.814333870223858,0.898208502517818
"A1BG",241.311332096489,1.16618477142204,0.162812670807411,7.90804570699963e-13,5.7886804120039e-12
"A1BG-AS1",294.863133353387,0.0551574087589999,0.154120889468876,0.720430084360387,0.838363728357587
"A2M",2.03101338933278,1.29369231184963,1.62591012344237,0.426222293551277,NA
"AAAS",2052.28089284734,-0.356202501135558,0.0732183679820146,1.14495218344396e-06,5.16540112650659e-06
"AACS",1055.8470404766,-0.370823107444933,0.0768432675838629,1.39507360298884e-06,6.23012806861623e-06
"AADAT",844.59653726962,-0.195503137545249,0.0876519917020667,0.0257177704878019,0.0616638712014569
"AAGAB",2816.74303892248,-1.39306093727563,0.0590165047857306,3.45698488795819e-123,3.73383540767737e-121
"AAK1",3457.49067356072,-0.584333439305489,0.062229045834392,5.99755557691236e-21,6.96260442892529e-20
"AAMDC",384.907926362054,0.148463316932478,0.120390285878872,0.217507301161826,0.367849006596875
"AAMP",3689.28799555769,-0.453262086060386,0.0625320088798343,4.21471151958398e-13,3.1408496500236e-12
"AANAT",2.9324827838405,-1.04993402522529,1.54437623710682,0.49660360942619,0.668304686148028
"AAR2",2134.55866631191,-0.0656441330533268,0.065984890206776,0.319816116507241,0.490496900043789
"AARD",46.2587161725815,-0.244883011634701,0.329867550885895,0.457864590196024,0.634393384564971
"AARS1",6115.52799323138,-0.396704554751605,0.0516846471700439,1.64798400340025e-14,1.34604641094574e-13
"AARS2",2145.59247505705,-0.0853411451712855,0.0676342793133142,0.207019636494119,0.354159503774407
"AARSD1",892.045295728331,0.219193711002684,0.0849236503717612,0.00984951968638051,0.0260732166423959
"AARSD1P1",7.18695048875926,-1.00099833349774,0.844473525870239,0.23587832469326,0.391341846879129
"AASDH",594.34105617266,0.157212570474121,0.106977832625999,0.141675319364118,0.26275937002483
"AASDHPPT",2561.6326414791,-0.0256854279589488,0.0766073345919935,0.737408751232311,0.850585310654501
"AASS",57.774226742759,-1.058656463935,0.311512181844879,0.000677705276980951,0.00218762921565679
"AATF",2707.89650391696,-0.326714051136589,0.05998054948566,5.12264724073485e-08,2.6157894288516e-07
"AATK",1513.74745719487,0.547902974688518,0.0831007753827734,4.30343382237094e-11,2.79734126422172e-10
"ABAT",4940.07797707621,0.159727495552979,0.0550582731106394,0.00371899605186478,0.0106617606602794
"ABCA1",15.3702163590694,2.82194878176507,0.661391425268916,1.98399103317777e-05,7.83133422780022e-05
"ABCA11P",185.92768347483,-1.1305843287329,0.213810526223957,1.23805628730534e-07,6.1074898520798e-07
"ABCA12",483.534712496914,-0.347495490157808,0.107388703896532,0.00121274164559796,0.00375923475950796
"ABCA13",1.78596256533749,-1.01326922614987,1.83834055413656,0.58150556117568,NA
"ABCA17P",11.9303185798626,-0.108927770835071,0.71627700199004,0.879127841684249,0.936306117264711
"ABCA2",7121.07225531737,0.925252884739039,0.0681049802693125,4.86947308946152e-42,1.19053268523435e-40
"ABCA3",7756.69390561703,0.218014700456819,0.0509469239556062,1.87522879120308e-05,7.42721748370979e-05
"ABCA4",3.74173172886134,3.55133258922524,1.47320078880605,0.0159252742527656,0.0401709864330207
"ABCA5",85.6816444635135,-0.01823502368516,0.287415955143167,0.949412380627533,0.973887944656965
"ABCA6",1.71341369478244,-1.75830344588389,1.81825224127952,0.333529316864195,NA
"ABCA7",262.551591677804,-0.293583668997151,0.150804568829634,0.0515608369625732,0.113224183286261
"ABCA8",1.77346422080196,-2.98341450765987,1.93692356966697,0.123490874928945,NA
"ABCA9",2.23717950915521,-0.879926571686338,1.66188715495566,0.59647645395941,0.74757346433275
"ABCB1",9939.30876545031,0.0826127047086209,0.0451203645051467,0.0671094179867772,0.141784985277775
"ABCB10",900.922251364134,-0.255035688071114,0.0847148873599487,0.0026080254199666,0.007675354644781
"ABCB10P1",17.6563693401974,-1.09004984659009,0.56515568562026,0.0537606271550856,0.117370109502421
"ABCB10P3",9.26913924529616,-0.814871502044615,2.06198645303485,0.692704434504827,0.81996985500368
"ABCB10P4",17.8930280494732,-0.636966742798531,0.52288081534343,0.223152823474978,0.375214756161268
"ABCB11",23.160612001122,-0.0210145634354269,0.466745307288098,0.964088481862093,0.981240276959853
"ABCB4",928.7671183365,0.492715196606799,0.0824681328643184,2.30636716893454e-09,1.3210648196551e-08
"ABCB5",2.99921008015493,-2.21707630137594,1.43514091436368,0.122382742136405,0.233213238532547
"ABCB6",2099.79870831517,0.374992540897161,0.0682866673915592,3.98656403262781e-08,2.05369422634749e-07
"ABCB7",1011.17588171276,0.264396614208555,0.0792695065060337,0.000851725230946744,0.00270099881835664
"ABCB8",1716.58085088278,-0.101477242681128,0.0845139015045588,0.229861160840997,0.384047124548518
"ABCB9",206.969910717098,1.51237221400695,0.173426211832571,2.76849956587904e-18,2.80999412717572e-17
"ABCC1",5934.49239294054,0.0929844120814018,0.0508096822519906,0.0672420120955425,0.142036692952841
"ABCC10",906.911376348152,-0.0702071794819217,0.0873530246134961,0.421559980226165,0.598607221047837
"ABCC11",7.09274830621408,-0.744849859149302,0.922347823968383,0.419344763907833,0.596421117152612
"ABCC2",16.7634883341493,-0.374768367172323,0.550547917582536,0.496049381438946,0.667816980439368
"ABCC3",10.9053525466123,0.346936636483839,0.683866800143954,0.611933045256362,0.758890659002585
"ABCC4",2093.7206621108,-0.0653594000135902,0.068601857214947,0.34072428437083,0.513443234904604
"ABCC5",3257.90181125974,0.569217264661117,0.0554193999521961,9.51305147238344e-25,1.33579315189288e-23
"ABCC6",58.8281887367573,0.363375940818648,0.30415204050638,0.232197197413535,0.386788824064012
"ABCC6P1",22.593369719373,-0.527511967306755,0.471328213985925,0.26305353121305,0.424889215799575
"ABCC6P2",23.5856734202526,-0.782977165150366,0.465701994735072,0.0927078256163954,0.186391369787032
"ABCC8",181.773799107377,0.942014108337377,0.188840193825003,6.08752626900866e-07,2.81860456325553e-06
"ABCC9",146.610361624964,0.810992856731229,0.193849611820783,2.86905203509128e-05,0.00011107379611958
"ABCD1",923.911461239502,-0.843998239154213,0.0912606202791163,2.28263408563319e-20,2.56500734521679e-19
"ABCD2",2818.03677494464,-0.00311834540006639,0.0643213113437229,0.961333105858597,0.979969631130149
"ABCD3",3170.22306533375,-0.280102308942928,0.0745754605667146,0.000172679549638858,0.00060385944148299
"ABCD4",1225.63591161642,0.413657982104794,0.0744236072753836,2.72640440380548e-08,1.42487749956335e-07
"ABCE1",3813.40275018973,-0.205297036264292,0.0685594091041668,0.00274949136488705,0.00806387258918181
"ABCF1",6211.99279966607,-0.177352795592779,0.0549940001709085,0.00125995513941881,0.00389709179058032
"ABCF2",2975.41493550775,-0.332864245556795,0.0614884197087592,6.18232118533785e-08,3.13500510503721e-07
"ABCF2-H2BK1",2259.01812512435,-0.136907108498245,0.0716662941624024,0.0560892350747971,0.121696239993614
"ABCF3",1465.32450898375,0.220703939995224,0.0704193013546886,0.00172358677362624,0.00521702426762261
"ABCG1",1054.06459627614,2.18452169250143,0.12015920167456,7.40252658876134e-74,3.70821674401395e-72
"ABCG4",58.3191101400386,1.81074291724533,0.320683527398933,1.63737132393015e-08,8.72106349354221e-08
"ABCG8",7.97961960894726,0.781162699854179,0.787619855546871,0.321294275557113,0.492189758570375
"ABHD1",100.294546064536,1.20956607878907,0.237595457720773,3.56436278900711e-07,1.68247388296154e-06
"ABHD10",1041.5470833756,-0.218453583364232,0.081122319706764,0.00708353738878114,0.0193186011163456
"ABHD11",512.792670022411,0.136551253879509,0.108241287829514,0.207112562951516,0.354294799948737
"ABHD12",1822.52492215804,0.124301100716986,0.0665926189604986,0.0619588985179969,0.132466707112978
"ABHD12B",5.69366613072858,-1.73553797064962,1.08349912423553,0.109202073815189,0.212623007950195
"ABHD13",524.296248339439,0.303288313319995,0.130134979552151,0.0197761933630159,0.0487182174676624
"ABHD14A",548.788183794895,0.567788338196158,0.125571381231924,6.13629137490161e-06,2.57292033766964e-05
"ABHD14A-ACY1",79.2732309325723,0.234522020458499,0.375028183550748,0.531744614672679,0.69782665723991
"ABHD14B",854.666695877799,1.78767406935098,0.0933564296412023,9.88297304792299e-82,5.78911542518839e-80
"ABHD15",323.620777961514,0.719406838587984,0.139220791240969,2.3739731846525e-07,1.13927569517688e-06
"ABHD16A",1157.15178244219,0.324736686632908,0.0808521138980456,5.90869280167768e-05,0.000219713420013575
"ABHD16B",1.91114482481855,-3.13602327310893,1.90939955864963,0.100504375814601,NA
"ABHD17A",2511.1391480942,0.285085522573693,0.080377286139201,0.000389878553554946,0.00129932446477015
"ABHD17B",786.850784775462,-0.0390900164870533,0.0935893646998449,0.676184139129237,0.807810780483979
"ABHD17C",424.131787863862,0.28088450284324,0.128388873434447,0.0286868272328456,0.0677672022431138
"ABHD18",355.869967897235,0.36424479336964,0.128418307748759,0.00456262592453961,0.0128755482765257
"ABHD2",12739.7295463324,-0.370458066472735,0.0424587470278509,2.65876183590595e-18,2.70075339188574e-17
"ABHD3",291.994228210252,-0.261258460252779,0.135964223374831,0.0546657334664654,0.119092208108475
"ABHD4",361.634463055554,0.936957692212363,0.123225505498256,2.88000203263741e-14,2.32269351075779e-13
"ABHD5",1519.14805227501,-1.1006908281734,0.0850901257854427,2.834453667813e-38,6.23336297153585e-37
"ABHD6",515.070803130278,0.917718089694316,0.108253338528813,2.30076832948331e-17,2.21826996979713e-16
"ABHD8",828.456683417153,0.183407559641319,0.0897385475203607,0.0409734014477186,0.0926043731466272
"ABI1",1376.89668827895,0.116711416946868,0.0724965240464446,0.107421909065955,0.209987478294793
"ABI2",8722.14878618949,-0.234669197742418,0.0462152846183551,3.81950947718788e-07,1.79826749304865e-06
"ABI3BP",10.344630393135,-1.5781560526466,0.720160701384321,0.0284232715814393,0.0672190415688916
"ABITRAM",520.448965733491,0.486836054449956,0.114567697661584,2.144100231635e-05,8.42953121323802e-05
"ABL1",7701.93155648407,-0.177666077815716,0.0621854878618968,0.00427619494929938,0.0121260704898821
"ABL2",4258.37322400499,-0.537970970884398,0.0529987069012283,3.29186178276714e-24,4.47504396788494e-23
"ABLIM1",10567.726107608,-0.513750168780802,0.0416545121458173,5.9716473699464e-35,1.17767511075414e-33
"ABLIM2",160.195430080574,-0.479587786898871,0.17688210688072,0.0067011581768105,0.0183559386848577
"ABLIM3",50.7289477600727,0.0845250123699265,0.317364552470605,0.789981889124211,0.883981307824862
"ABR",9203.53478541949,0.143178371441858,0.0517250013164228,0.00563895197907536,0.0156608324574559
"ABR-AS1",7.24250274749811,0.104889446616918,0.845404070634382,0.901259697932677,0.94803557623508
"ABRACL",354.229378899063,-0.854925063426595,0.140532089472146,1.17596853463515e-09,6.87898595740184e-09
"ABRAXAS1",471.353669608959,0.764894988962949,0.12306337918808,5.11758911257679e-10,3.09181133121881e-09
"ABRAXAS2",1125.93108201274,-0.110784308674995,0.0822351791724846,0.177927279515729,0.314934483546096
"ABT1",1254.20835207952,0.448506270533299,0.0830949358325672,6.75697371282037e-08,3.41288502566645e-07
"ABTB1",269.742340212709,1.04821278883887,0.146239380358829,7.62195382278389e-13,5.58405191630286e-12
"ABTB2",417.371672355978,-1.41802023449118,0.130978911892805,2.58316350073225e-27,3.97617674634661e-26
"ABTB3",206.702679849693,1.24271783811216,0.191075732225254,7.83173928076445e-11,4.99444100919303e-10
"ACAA1",801.219848476028,-0.0656786478472688,0.0999980409874151,0.511309945284467,0.681019406805338
"ACAA2",4809.55863507827,-0.262907308930084,0.0524253060166302,5.30629410981333e-07,2.46919681190695e-06
"ACAA2P1",1.6653326331242,0.307012863122382,1.75338449649109,0.861003192367164,NA
"ACACA",6941.01924255293,-0.288414290400953,0.0520298202276823,2.96908818980417e-08,1.54697169718313e-07
"ACACB",1174.26140919825,-0.315677062159191,0.0750442308130753,2.59302509311196e-05,0.000101029309487793
"ACAD10",1104.92098156101,0.617125741907043,0.076902033842483,1.01666702985603e-15,8.91865751550879e-15
"ACAD11",784.74352093978,0.154593896710349,0.0880369141218287,0.0790863226079028,0.162999330605241
"ACAD8",1030.61038266561,0.217331360192237,0.0950666294099595,0.0222486928122171,0.0541576681824965
"ACAD9",1533.59497142241,-0.263642560961933,0.0760421078701105,0.000526184153635947,0.00172704987367265
"ACAD9-DT",113.176746843315,-0.51417402510033,0.214343460404544,0.0164474434935283,0.0413780499800824
"ACADL",21.4707757277323,-1.5271198201688,0.616446079369595,0.0132381813433513,0.0340608067169671
"ACADM",2039.26937484252,0.119308939911913,0.066693794768753,0.0736299305092501,0.15349612844497
"ACADS",254.019909542084,0.925373843248429,0.158670488528822,5.47512908705774e-09,3.03622951409237e-08
"ACADSB",1313.42523650719,0.646781124269727,0.0770517883270824,4.69439745373059e-17,4.46884291634792e-16
"ACADVL",4545.8680207851,0.146393418027969,0.0572236092845296,0.0105194512903553,0.027674914093578
"ACAP1",23.4303263806511,1.56948145161596,0.478834035966369,0.00104651038461115,0.00327688964223563
"ACAP2",1599.19146463131,-0.192200108742133,0.0718049453543896,0.00743517581020167,0.0201811022990546
"ACAP3",3405.48158614873,0.0882690478139483,0.0706039068860952,0.211226272211249,0.359318974514664
"ACAT1",4181.99778703731,0.384322889420447,0.0574624488575068,2.2586404247801e-11,1.49822953079868e-10
"ACAT2",2404.70914229437,-1.05977305599629,0.0593261448310028,2.26919175470922e-71,1.09185658904223e-69
"ACBD3",2536.89138390123,-0.0233449631748989,0.0630534661237191,0.711203109436369,0.832497277791903
"ACBD3-AS1",8.98883037278906,0.200318761035056,0.764778257674633,0.793375014996847,0.886383276618771
"ACBD4",122.412999750611,1.75575671518815,0.215561974722901,3.79217483370074e-16,3.41562601664573e-15
"ACBD5",2404.0027818826,0.625815656475125,0.0588300961423659,1.9902607552054e-26,2.96892160907622e-25
"ACBD6",2589.89504492245,0.010312424427234,0.0559582301763871,0.853787609962914,0.921501675584209
"ACBD7",491.343395514604,-1.18990278361164,0.116856004379639,2.37038306435641e-24,3.24823692084557e-23
"ACCS",273.618393582454,0.327080493069597,0.143618930987835,0.022761212043873,0.055289571635895
"ACCSL",7.64084030831051,2.24248152463629,0.896752959257367,0.0123959286590616,0.032097004027378
"ACD",1187.96549377519,-0.309526572353426,0.07836765430131,7.82581816948218e-05,0.000286260779511867
"ACE",1003.86181877993,0.64239579397762,0.0837871722136609,1.76073236564982e-14,1.43493241311379e-13
"ACE2",5.65101762325747,-0.95443001227574,1.04005072590068,0.358788303437747,0.53325570408172
"ACER1",2.54328587271565,-1.51396560162506,1.5522328891924,0.32938819288196,0.501080344766888
"ACER2",158.058838827686,0.284942723585711,0.176938873947911,0.107310115503672,0.209800988059497
"ACER3",1244.77781630628,-0.389233183331731,0.0816295236173364,1.85796859085269e-06,8.1704655537961e-06
"ACHE",223.586802719149,0.960856181431722,0.15705519354803,9.47854321254009e-10,5.59446043704407e-09
"ACIN1",7568.31891763885,-0.49183444346139,0.054649676787781,2.26193988688528e-19,2.43077822101131e-18
"ACKR2",15.6504893417053,-0.135902617553614,0.576608489015987,0.81367085773485,0.898029826948771
"ACLY",21918.3958459293,0.220263105303895,0.04756690742709,3.64615643467263e-06,1.56155784531956e-05
"ACO1",1386.83976845925,0.171792955068852,0.070220949027539,0.0144265595787657,0.0367600111583959
"ACO2",3344.41616331753,0.242870591962646,0.057955268859612,2.78149165499044e-05,0.000107977606335896
"ACOT1",206.692041846797,-0.169833623911748,0.199528091489192,0.394671311159897,0.57165145833028
