region,target_gene,proxy,n,spearman_rho,p_value,q_value,in_correction_family
Cortex Motor Lateral,ATP2A2,gene-level STMN2,85,0.683,5.694038102329803e-13,5.446471228315464e-12,yes
Cortex Motor Lateral,ORAI2,cryptic STMN2 PSI,85,0.016,0.8852788467085323,0.9290133877071383,yes
Cortex Motor Lateral,ORAI2,gene-level STMN2,85,-0.201,0.0650788119219755,0.1431733862283461,yes
Cortex Motor Lateral,STIM1,cryptic STMN2 PSI,85,-0.149,0.1734004559616187,0.3152735562938522,yes
Cortex Motor Lateral,STIM1,gene-level STMN2,85,0.195,0.0738928444499735,0.15648356513379616,yes
Cortex Motor Lateral,ORAI1,cryptic STMN2 PSI,85,0.005,0.9628588589857758,0.9716924264994068,yes
Cortex Motor Lateral,ORAI1,gene-level STMN2,85,-0.349,0.0010524772847163,0.0038590833772931,yes
Cortex Motor Lateral,ATP2A3,cryptic STMN2 PSI,85,-0.031,0.776380375299661,0.8670237693701798,yes
Cortex Motor Lateral,ATP2A3,gene-level STMN2,85,-0.325,0.0023897483511643,0.008088379034709938,yes
Cortex Motor Lateral,SNAP25,cryptic STMN2 PSI,85,-0.13,0.2371096299131029,0.4075080968076676,yes
Cortex Motor Lateral,SNAP25,gene-level STMN2,85,0.861,4.76341538577548e-26,9.526830771550959e-25,yes
Cortex Motor Lateral,GFAP,cryptic STMN2 PSI,85,0.212,0.051177888074018,0.12157269119594015,yes
Cortex Motor Lateral,GFAP,gene-level STMN2,85,-0.495,1.4747781946275798e-06,8.111280070451688e-06,yes
Cortex Motor Lateral,STMN2,cryptic STMN2 PSI,85,-0.114,0.2978933599323755,0.46071069677117155,yes
Cortex Motor Lateral,STMN2,gene-level STMN2,85,1.0,0.0,,no
Cortex Motor Medial,TRPC1,cryptic STMN2 PSI,87,-0.153,0.1577788443954214,0.2916919812352328,yes
Cortex Motor Medial,TRPC1,gene-level STMN2,87,0.674,8.423891992906078e-13,7.721900993497238e-12,yes
Cortex Motor Medial,SARAF,cryptic STMN2 PSI,87,-0.208,0.0528488960742313,0.12368890570564772,yes
Cortex Motor Medial,SARAF,gene-level STMN2,87,0.883,1.3722262162883126e-29,4.312710965477554e-28,yes
Cortex Motor Medial,CBARP,cryptic STMN2 PSI,87,-0.106,0.3288508456000979,0.49215772810899006,yes
