gene,gene_upper,panel,source_lists,categories,source_evidence
P2RX6,P2RX6,Tier3_Curated_Calcium_Handling_258,Curated_258,PM_channels_other,Curated_258:PM_channels_other
P2RX7,P2RX7,Tier3_Curated_Calcium_Handling_258,Curated_258,PM_channels_other,Curated_258:PM_channels_other
PACS2,PACS2,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
PDZD8,PDZD8,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
PKD2,PKD2,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
PKD2L1,PKD2L1,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
PKD2L2,PKD2L2,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
PLCB1,PLCB1,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCB2,PLCB2,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCB3,PLCB3,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCB4,PLCB4,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCD1,PLCD1,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCD3,PLCD3,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCD4,PLCD4,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCE1,PLCE1,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCG1,PLCG1,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCG2,PLCG2,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PLCZ1,PLCZ1,Tier3_Curated_Calcium_Handling_258,Curated_258,PLC_IP3,Curated_258:PLC_IP3
PPP3CA,PPP3CA,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
PPP3CB,PPP3CB,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
PPP3CC,PPP3CC,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
PPP3R1,PPP3R1,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
PPP3R2,PPP3R2,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
RCAN1,RCAN1,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
RCAN2,RCAN2,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
RCAN3,RCAN3,Tier3_Curated_Calcium_Handling_258,Curated_258,Calcineurin_NFAT,Curated_258:Calcineurin_NFAT
RCVRN,RCVRN,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
RYR1,RYR1,Tier3_Curated_Calcium_Handling_258,Curated_258,ER_channels,Curated_258:ER_channels
RYR2,RYR2,Tier3_Curated_Calcium_Handling_258,Curated_258,ER_channels,Curated_258:ER_channels
RYR3,RYR3,Tier3_Curated_Calcium_Handling_258,Curated_258,ER_channels,Curated_258:ER_channels
S100A1,S100A1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
S100A2,S100A2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
S100A6,S100A6,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
S100A8,S100A8,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
S100A9,S100A9,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
S100B,S100B,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
S100G,S100G,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
SARAF,SARAF,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_core,Curated_258:SOCE_core
SDF4,SDF4,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
SLC24A1,SLC24A1,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC24A2,SLC24A2,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC24A3,SLC24A3,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC24A4,SLC24A4,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC24A5,SLC24A5,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC25A23,SLC25A23,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
SLC25A24,SLC25A24,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
SLC25A25,SLC25A25,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
SLC8A1,SLC8A1,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC8A2,SLC8A2,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC8A3,SLC8A3,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SLC8B1,SLC8B1,Tier3_Curated_Calcium_Handling_258,Curated_258,NCX,Curated_258:NCX
SMDT1,SMDT1,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
STIM1,STIM1,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_core,Curated_258:SOCE_core
STIM2,STIM2,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_core,Curated_258:SOCE_core
STIMATE,STIMATE,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_core,Curated_258:SOCE_core
SYT1,SYT1,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT10,SYT10,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT11,SYT11,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT13,SYT13,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT17,SYT17,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT2,SYT2,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT3,SYT3,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT4,SYT4,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT5,SYT5,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT6,SYT6,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT7,SYT7,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
SYT9,SYT9,Tier3_Curated_Calcium_Handling_258,Curated_258,Synaptotagmins,Curated_258:Synaptotagmins
TMCO1,TMCO1,Tier3_Curated_Calcium_Handling_258,Curated_258,PM_channels_other,Curated_258:PM_channels_other
TMEM165,TMEM165,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TMEM203,TMEM203,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TMEM64,TMEM64,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TMEM66,TMEM66,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
TPCN1,TPCN1,Tier3_Curated_Calcium_Handling_258,Curated_258,ER_channels,Curated_258:ER_channels
TPCN2,TPCN2,Tier3_Curated_Calcium_Handling_258,Curated_258,ER_channels,Curated_258:ER_channels
TRDN,TRDN,Tier3_Curated_Calcium_Handling_258,Curated_258,Junctional,Curated_258:Junctional
TRPA1,TRPA1,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC1,TRPC1,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC3,TRPC3,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC4,TRPC4,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC5,TRPC5,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC6,TRPC6,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPC7,TRPC7,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM1,TRPM1,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM2,TRPM2,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM3,TRPM3,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM4,TRPM4,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM5,TRPM5,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM6,TRPM6,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM7,TRPM7,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPM8,TRPM8,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV1,TRPV1,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV2,TRPV2,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV3,TRPV3,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV4,TRPV4,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV5,TRPV5,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV6,TRPV6,Tier3_Curated_Calcium_Handling_258,Curated_258,TRP_channels,Curated_258:TRP_channels
TTYH1,TTYH1,Tier3_Curated_Calcium_Handling_258,Curated_258,PM_channels_other,Curated_258:PM_channels_other
TTYH2,TTYH2,Tier3_Curated_Calcium_Handling_258,Curated_258,PM_channels_other,Curated_258:PM_channels_other
TTYH3,TTYH3,Tier3_Curated_Calcium_Handling_258,Curated_258,PM_channels_other,Curated_258:PM_channels_other
VAPB,VAPB,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
VDAC1,VDAC1,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
VDAC2,VDAC2,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
VDAC3,VDAC3,Tier3_Curated_Calcium_Handling_258,Curated_258,Mitochondrial,Curated_258:Mitochondrial
VSNL1,VSNL1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
WFS1,WFS1,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
