gene,gene_upper,panel,source_lists,categories,source_evidence
TRPM8,TRPM8,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV1,TRPV1,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV2,TRPV2,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV3,TRPV3,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV4,TRPV4,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV5,TRPV5,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TRPV6,TRPV6,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
TTYH1,TTYH1,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
TTYH2,TTYH2,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
TTYH3,TTYH3,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
VAPB,VAPB,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
WFS1,WFS1,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
