gene,gene_upper,panel,source_lists,categories,source_evidence
CALR,CALR,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Categorized_calcium;Curated_258;Galaxy_STAR_calcium,Ca-binding proteins;Ca_sensors;Calcium_Binding;Galaxy_STAR_calcium,Calcium_genes_analysis:Calcium_Binding;Categorized_calcium:Ca-binding proteins;Curated_258:Ca_sensors;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CALRETICULIN,CALRETICULIN,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis,ER_Calcium,Calcium_genes_analysis:ER_Calcium
CALU,CALU,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis,Calcium_Binding,Calcium_genes_analysis:Calcium_Binding
CAMK1,CAMK1,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK1D,CAMK1D,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK1G,CAMK1G,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK2A,CAMK2A,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK2B,CAMK2B,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK2D,CAMK2D,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK2G,CAMK2G,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Categorized_calcium;Curated_258;Galaxy_STAR_calcium;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling;Calmodulin/CaMK;Galaxy_STAR_calcium,Calcium_genes_analysis:Calcium_Signaling;Categorized_calcium:Calmodulin/CaMK;Curated_258:CaM_CaMK;Galaxy_STAR_calcium:Galaxy_STAR_calcium;KEGG_calcium_cAMP:Calcium signaling pathway
CAMK4,CAMK4,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,CaM_CaMK;Calcium signaling pathway;Calcium_Signaling,Calcium_genes_analysis:Calcium_Signaling;Curated_258:CaM_CaMK;KEGG_calcium_cAMP:Calcium signaling pathway
CAMKK1,CAMKK1,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Categorized_calcium;Curated_258;Galaxy_STAR_calcium,CaM_CaMK;Calcium_Signaling;Calmodulin/CaMK;Galaxy_STAR_calcium,Calcium_genes_analysis:Calcium_Signaling;Categorized_calcium:Calmodulin/CaMK;Curated_258:CaM_CaMK;Galaxy_STAR_calcium:Galaxy_STAR_calcium
